Name,Price,Ratings,CPU,GPU,RAM,Storage
"DELL G15 Intel Core i5 13th Gen 13450HX - (16 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce RTX 3050/120 Hz) G15 5530 Gaming Laptop (15.6 Inch, Dark Shadow Gray With Black Thermal Shelf, 2.65 Kg, With MS Office)",85990,4.2,Intel Core i5 13th Gen,,,1 TB
"Acer Aspire 7 Intel Core 5 210H - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce RTX 4050) A715-79G Gaming Laptop (15.6 Inch, Obsidian Black, 1.99 Kg)",69990,4.3,Intel Core 5,,,512 GB
"Acer NITRO LITE 16 Intel Core i5 13th Gen 13420H - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce RTX 3050) NL16-71G Gaming Laptop (16 Inch, Pure White, 1.95 Kg)",59990,4.5,Intel Core i5 13th Gen,,,512 GB
"Acer NITRO LITE 16 Intel Core i7 13th Gen 13620H - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce RTX 4050) NL16-71G Gaming Laptop (16 Inch, White, 1.95 Kg)",69990,4.3,Intel Core i7 13th Gen,,,512 GB
"Lenovo LOQ Essential Intel Core i5 12th Gen 12450HX - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 3050A) 15IAX9E Gaming Laptop (15.6 Inch, Luna Grey, 1.77 kg, With MS Office)",68980,3.9,Intel Core i5 12th Gen,,,512 GB
"Acer NITRO V 16S Intel Core 5 - (16 GB/512 GB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeForce RTX NVIDIA GeForce RTX 5050/180 Hz) ANV16S-71 Gaming Laptop (16 Inch, Obsidian Black, 2.1 kg)",94990,4.8,Intel Core 5,,,512 GB
"DELL G15 Intel Core i5 13th Gen 13450HX - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce RTX 3050/120 Hz) 5530 Gaming Laptop (15.6 Inch, Dark Shadow Gray With Black Thermal Shelf, 2.65 Kg, With MS Office)",79990,4.2,Intel Core i5 13th Gen,,,512 GB
"Lenovo LOQ Essential Intel Core i7 12650HX - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce RTX 4050) LOQ 15IAX9E Gaming Laptop (15.6 Inch, Luna Grey, With MS Office)",79990,4.4,Intel Core i7,,,512 GB
"Acer Aspire 7 Intel Core i7 13th Gen 13620H - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce RTX 4050) A715-79G Gaming Laptop (15.6 Inch, Obsidian Black, 1.99 Kg)",84990,4.2,Intel Core i7 13th Gen,,,512 GB
"HP Victus AMD Ryzen 7 Octa Core 260 - (24 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeForce RTX 5050) 15-fb3185AX Gaming Laptop (15.6 Inch, Mica Silver, Black Chrome Logo, 2.29 Kg, With MS Office)",99990,4.5,AMD Ryzen 7 Octa Core,,,1 TB
"HP Victus AMD Ryzen 7 Hexa Core 7445HS - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 2050) 15-fb3122AX Gaming Laptop (15.6 Inch, Performance Blue, Chrome Logo, 2.29 Kg, With MS Office)",63990,4.4,AMD Ryzen 7 Hexa Core,,,512 GB
"Acer Nitro V AMD Ryzen 5 Hexa Core 6600H - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce RTX 3050) ANV15-41-R8G0 Gaming Laptop (16 Inch, Obsidian Black, 2.1 Kg)",62990,4.4,AMD Ryzen 5 Hexa Core,,,512 GB
"Lenovo LOQ 2025 Intel Core i7 13th Gen 13700HX - (16 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeForce RTX 5050) LoQ 15IRX10 Gaming Laptop (15.6 Inch, Luna Grey, 2.4 Kg, With MS Office)",118990,4.4,Intel Core i7 13th Gen,,,1 TB
"Lenovo LOQ AMD Ryzen 7 Octa Core 7435HS - (24 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 3050A) LOQ 15ARP9D2 Gaming Laptop (15.6 Inch, Luna Grey, 2.38 kg, With MS Office)",71290,4.3,AMD Ryzen 7 Octa Core,,,512 GB
"HP Victus Intel Core i5 14th Gen 14450HX - (24 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce RTX 4050) 15-fa2382TX Gaming Laptop (15.6 Inch, Mica Silver, 2.31 Kg, With MS Office)",89990,4.3,Intel Core i5 14th Gen,,,512 GB
"Lenovo IdeaPad Slim 3 AMD Ryzen 7 Octa Core - (16 GB/512 GB SSD/Windows 11 Home) IdeaPad Slim 3 15AHP10 Thin and Light Laptop (15.3 Inch, Luna Grey, 1.59 kg, With MS Office)",67390,4.6,AMD Ryzen 7 Octa Core,,,512 GB
"Acer Aspire 7 Intel Core i5 13th Gen 13420H - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce RTX 3050) A715-79G Gaming Laptop (15.6 Inch, Black, 1.99 Kg)",62990,4.3,Intel Core i5 13th Gen,,,512 GB
