Name,Price,Ratings,CPU,Storage,value_score
Acer Nitro V AMD Ryzen 5 Hexa Core 6600H ,62990,4.4,AMD Ryzen 5 Hexa Core,512 GB,6.985235751706621e-05
Acer Aspire 7 Intel Core i5 13th Gen 13420H ,62990,4.3,Intel Core i5 13th Gen,512 GB,6.826480393713287e-05
MSI Thin A15 AMD Ryzen 5 Hexa Core 7535HS ,62990,4.3,AMD Ryzen 5 Hexa Core,512 GB,6.826480393713287e-05
ASUS TUF Gaming A15 (2025) AMD Ryzen 7 Hexa Core 7445HS ,71990,4.4,AMD Ryzen 7 Hexa Core,512 GB,6.111959994443674e-05
Lenovo LOQ AMD Ryzen 7 Octa Core 7435HS ,71290,4.3,AMD Ryzen 7 Octa Core,512 GB,6.0317015009117686e-05
Lenovo LOQ Essential Intel Core i5 12th Gen 12450HX ,68980,4.0,Intel Core i5 12th Gen,512 GB,5.798782255726298e-05
ASUS TUF Gaming A15 (2025) AMD Ryzen 7 Hexa Core 7445HS ,75990,4.4,AMD Ryzen 7 Hexa Core,1 TB,5.7902355573101726e-05
HP Victus Intel Core i5 13th Gen 13420H ,75490,4.2,Intel Core i5 13th Gen,512 GB,5.563650814677441e-05
Lenovo LOQ Essential Intel Core i7 12650HX ,79990,4.3,Intel Core i7,512 GB,5.375671958994874e-05
DELL G15 Intel Core i5 13th Gen 13450HX ,79990,4.2,Intel Core i5 13th Gen,1 TB,5.2506563320415056e-05
HP Victus AMD Ryzen 7 Hexa Core 7445HS ,81990,4.3,AMD Ryzen 7 Hexa Core,512 GB,5.244542017319185e-05
HP Victus Intel Core i5 14th Gen 14450HX ,79399,4.1,Intel Core i5 14th Gen,512 GB,5.16379299487399e-05
Acer NITRO V 16S Intel Core 5 ,94990,4.8,Intel Core 5,512 GB,5.053163490893778e-05
HP Victus AMD Ryzen 7 Octa Core 260 ,99990,4.5,AMD Ryzen 7 Octa Core,1 TB,4.5004500450045e-05
MSI Raider 18 HX Intel Core i9 14th Gen 14900HX ,379990,4.5,Intel Core i9 14th Gen,2 TB,1.1842416905708045e-05
